Название,Артикул,Категория,Цена без карты,Цена с картой
Вентиль ТЕХНОНИКОЛЬ Skat кровельный,17575501,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",2 396.00 ₽,2 276.20 ₽
Элемент проходной ТЕХНОНИКОЛЬ Skat кровельный,17575601,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 172.00 ₽,1 113.40 ₽
Элемент проходной ЭРА Для фальцевой и битумной кровли SPTS Gray,23654601,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 320.00 ₽,1 254.00 ₽
Аэратор ТЕХНОНИКОЛЬ Pilot скатный,17575301,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",3 008.00 ₽,2 857.60 ₽
Аэратор ТЕХНОНИКОЛЬ КТВ,17575401,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 529.00 ₽,1 452.55 ₽
Вентиляционная труба ОНДУВИЛЛА,19190801,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",4 099.00 ₽,3 894.05 ₽
Адаптер для аэратора КТВ ТЕХНОНИКОЛЬ,19190401,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",379.00 ₽,360.05 ₽
Проходной элемент ТЕХНОНИКОЛЬ Shinglas,17575701,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 172.00 ₽,1 113.40 ₽
Вентиль кровельный ТЕХНОНИКОЛЬ Skat Monterrey,19190701,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",2 399.00 ₽,2 279.05 ₽
Выход вентиляционный ТЕХНОНИКОЛЬ d110мм,19190501,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",2 199.00 ₽,2 089.05 ₽
Выход вентиляционный ТЕХНОНИКОЛЬ Изолированный d125/160мм,19190601,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",3 799.00 ₽,3 609.05 ₽
Колпак ТЕХНОНИКОЛЬ D110,19191601,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",619.00 ₽,588.05 ₽
Проходка BORGE Кровельная D6-50мм прямая №1,17162301,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",329.33 ₽,312.86 ₽
Элемент проходной ТЕХНОНИКОЛЬ Skat Monterrey,19193901,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 149.00 ₽,1 091.55 ₽
Вентилятор BORGE Подкровельный Viotto черепаха для МЧ,17162001,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 514.15 ₽,1 438.44 ₽
Проходка BORGE Кровельная D76-178мм прямая №4,17162101,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",844.58 ₽,802.35 ₽
Проходка BORGE Кровельная D152-279мм прямая №7,17162201,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 330.43 ₽,1 263.91 ₽
Колпак ТЕХНОНИКОЛЬ D160,19191701,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 199.00 ₽,1 139.05 ₽
Проходка BORGE Кровельная D75-200мм угловая №1,17162401,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 429.72 ₽,1 358.23 ₽
Вентилятор BORGE Подкровельный Viotto черепаха для ГЧ,17161901,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 514.15 ₽,1 438.44 ₽
Труба BORGE Вентиляционная Viotto D-110мм для МЧ,17162701,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",2 815.55 ₽,2 674.77 ₽
Аэратор коньковый ТЕХНОНИКОЛЬ черный,23027801,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",365.00 ₽,346.75 ₽
Лента вентиляционная ПВХ 10х500 см,18824701,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",554.63 ₽,526.90 ₽
Труба BORGE Вентиляционная Viotto D-110мм для ГЧ,17162601,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",2 815.55 ₽,2 674.77 ₽
Элемент проходной ЭРА Для металлочерепицы Monterrey SPTM Gray,23654501,"Главная,Каталог,Строительные материалы,Кровля,Вентиляция для кровли",1 320.00 ₽,1 254.00 ₽
Щипец ОНДУВИЛЛА Красный,19197001,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",365.00 ₽,346.75 ₽
Черепица ONDULINE Коричневый,14036501,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",626.66 ₽,563.99 ₽
Гвозди кровельные ONDULINE Красные 100шт,13692801,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",197.88 ₽,187.99 ₽
Гвозди кровельные ONDULINE Зелёные 100шт,13693001,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",175.44 ₽,166.67 ₽
Конёк ОНДУВИЛЛА Красный,19192101,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",365.00 ₽,346.75 ₽
Гвозди кровельные ONDULINE Зелёные,19190901,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",215.00 ₽,204.25 ₽
Щипец ОНДУВИЛЛА Коричневый,19196901,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",365.00 ₽,346.75 ₽
Гвозди кровельные ONDULINE Коричневые,19191001,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",215.00 ₽,204.25 ₽
Конёк ОНДУВИЛЛА Фиорентино,19192201,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",435.00 ₽,413.25 ₽
Гвозди кровельные ONDULINE Терракотт/фиорентино,19191201,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",215.00 ₽,204.25 ₽
Конёк торцевой ОНДУВИЛЛА Фиорентино,19192601,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",435.00 ₽,413.25 ₽
Фартук покрывающий ОНДУВИЛЛА Зелёный,19193501,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",395.00 ₽,375.25 ₽
Гвозди кровельные ONDULINE Красные,19191101,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",215.00 ₽,204.25 ₽
Фартук покрывающий ОНДУВИЛЛА Коричневый,19193601,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",379.00 ₽,360.05 ₽
Фартук покрывающий ОНДУВИЛЛА Красный,19193701,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",379.00 ₽,360.05 ₽
Гвозди кровельные ONDULINE Коричневые 100шт,13692701,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",197.88 ₽,187.99 ₽
Черепица ОНДУВИЛЛА Фиорентино 3D,19196701,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",225.00 ₽,213.75 ₽
Черепица ONDULINE Красная,13693101,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",626.66 ₽,563.99 ₽
Фартук покрывающий ОНДУВИЛЛА Фиорентино,19193801,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",435.00 ₽,413.25 ₽
Щипец ОНДУВИЛЛА Фиорентино,19197101,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",435.00 ₽,413.25 ₽
Ендова ONDULINE зеленая,8579601,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",346.00 ₽,328.70 ₽
Ендова ONDULINE коричневая,8579701,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",333.00 ₽,316.35 ₽
Ендова ONDULINE красная,8579801,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",312.12 ₽,296.51 ₽
Конёк ондулин зелёный,14036201,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",371.28 ₽,352.72 ₽
Элемент щипцовый ONDULINE красный,8581101,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",317.00 ₽,301.15 ₽
Гвозди кровельные ONDULINE Чёрные 100шт,13754901,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",184.00 ₽,174.80 ₽
Элемент щипцовый ONDULINE коричневый,8581001,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",319.00 ₽,303.05 ₽
Конёк ондулин коричневый,14036301,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",361.08 ₽,343.03 ₽
Черепица ондулин зелёная,14036401,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",657.90 ₽,625.00 ₽
Конёк ондулин красный,17406701,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",369.24 ₽,350.78 ₽
Заполнитель-комплект ОНДУЛИН Черепица,19191801,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",77.00 ₽,73.15 ₽
Конёк торцевой ОНДУВИЛЛА Зелёный,19192301,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",385.00 ₽,365.75 ₽
Конёк торцевой ОНДУВИЛЛА Коричневый,19192401,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",365.00 ₽,346.75 ₽
Конёк ОНДУВИЛЛА Зелёный,19191901,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",385.00 ₽,365.75 ₽
Конёк ОНДУВИЛЛА Коричневый,19192001,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",372.30 ₽,353.68 ₽
Конёк торцевой ОНДУВИЛЛА Красный,19192501,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",365.00 ₽,346.75 ₽
Черепица ОНДУВИЛЛА Зелёная 3D,19196401,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",169.00 ₽,160.55 ₽
Элемент щипцовый ONDULINE зеленый,8580901,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",336.00 ₽,319.20 ₽
Черепица ОНДУВИЛЛА Красный 3D,19196601,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",168.30 ₽,159.88 ₽
Черепица ОНДУВИЛЛА Коричневый 3D,19196501,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",168.30 ₽,159.88 ₽
Щипец ОНДУВИЛЛА Зелёный,19196801,"Главная,Каталог,Строительные материалы,Кровля,Волнистый лист (ондулин)",385.00 ₽,365.75 ₽
Мастика DOCKE Для гибкой черепицы 10л,10361901,"Главная,Каталог,Строительные материалы,Кровля,Кровельные мастики",2 670.37 ₽,2 536.85 ₽
"Мастика DOCKE Для гибкой черепицы 0,29л",10380701,"Главная,Каталог,Строительные материалы,Кровля,Кровельные мастики",196.85 ₽,187.01 ₽
Мастика ТЕХНОНИКОЛЬ Shinglas Фиксер №23 310мл,12880401,"Главная,Каталог,Строительные материалы,Кровля,Кровельные мастики",253.98 ₽,241.28 ₽
Мастика DOCKE Для гибкой черепицы 5л,10362001,"Главная,Каталог,Строительные материалы,Кровля,Кровельные мастики",1 367.20 ₽,1 298.84 ₽
Лента NICOBAND Duo 100х10см 360328,18899601,"Главная,Каталог,Строительные материалы,Кровля,Кровельные мастики",804.78 ₽,764.54 ₽
Снегозадержатель BORGE Трубчатый 4 опоры тёмно-зеленый,17422901,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель DOCKE шоколад,10362201,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",54.03 ₽,51.33 ₽
Снегозадержатель BORGE Трубчатый 4 опоры кирпично-красный,17423001,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
Снегозадержатель BORGE Трубчатый 4 опоры красное вино,17423101,"Главная,Каталог,Строительные материалы,Кровля,Кровельные ограждения, снегодержатели",2 349.00 ₽,2 231.55 ₽
